what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"es_ES",1374200581808
processors,sysinfo,,,"2",1374200581808
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1374200581808
java.runtime.version,sysinfo,,,"1.6.0_12-b04",1374200581808
java.specification.name,sysinfo,,,"Java Platform API Specification",1374200581808
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1374200581808
java.specification.version,sysinfo,,,"1.6",1374200581808
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1374200581808
java.version,sysinfo,,,"1.6.0_12",1374200581808
java.vm.info,sysinfo,,,"mixed mode",1374200581808
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1374200581808
